Time,USS_FLS,USS_FL,USS_FLM,USS_FRM,USS_FR,USS_FRS,USS_RRS,USS_RR,USS_RRM,USS_RLM,USS_RL,USS_RLS
C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
s,m,m,m,m,m,m,m,m,m,m,m,m
115.531,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.541,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.551,5,2.5,2.5,2.5,2.5,5,0.915337741,1.086987495,2.5,2.5,2.5,2.5
115.561,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.571,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.581,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.591,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.601,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.611,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.621,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.631,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.641,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.651,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.661,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.671,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.681,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.691,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.701,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.711,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.721,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.731,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.741,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.751,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.761,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.771,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.781,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.791,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.801,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.811,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.821,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.831,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.841,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.851,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.861,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.871,5,2.5,2.5,2.5,2.5,5,0.915337741,1.104152441,2.5,2.5,2.5,2.5
115.881,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.891,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.901,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.911,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.921,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.931,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.941,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.951,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.961,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.971,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.981,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
115.991,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
116.001,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
116.011,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
116.021,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
116.031,5,2.5,2.5,2.5,2.5,5,0.915337741,1.155647278,2.5,2.5,2.5,2.5
